year,edition,award,nomination_actor,nomination_country,nomination_character_name,nomination_citation,nomination_producers,nomination_description,film_title,is_winner,acceptance_speech_text,acceptance_speech_url
2023,96,Actress In A Supporting Role,America Ferrera,,Gloria,,,,Barbie,False,,
2023,96,Actress In A Supporting Role,Jodie Foster,,Bonnie Stoll,,,,Nyad,False,,
2023,96,Actress In A Supporting Role,Da'Vine Joy Randolph,,Mary Lamb,,,,The Holdovers,True,,http://aaspeechesdb.oscars.org/ics-wpd/url.ashx?id=096-4&amp;qn=AAspeeches
2023,96,Animated Feature Film,Hayao Miyazaki and Toshio Suzuki,,,,,,The Boy and the Heron,True,,http://aaspeechesdb.oscars.org/ics-wpd/url.ashx?id=096-5&amp;qn=AAspeeches
2023,96,Animated Feature Film,Peter Sohn and Denise Ream,,,,,,Elemental,False,,
2023,96,Animated Feature Film,"Nick Bruno, Troy Quane, Karen Ryan and Julie Zackary",,,,,,Nimona,False,,
2023,96,Animated Feature Film,"Pablo Berger, Ibon Cormenzana, Ignasi Estapé and Sandra Tapia Díaz",,,,,,Robot Dreams,False,,
2023,96,Animated Feature Film,"Kemp Powers, Justin K. Thompson, Phil Lord, Christopher Miller and Amy Pascal",,,,,,Spider-Man: Across the Spider-Verse,False,,
2023,96,Best Picture,"Ben LeClair, Nikos Karamigios, Cord Jefferson and Jermaine Johnson, Producers",,,,,,American Fiction,False,,
2023,96,Best Picture,"Marie-Ange Luciani and David Thion, Producers",,,,,,Anatomy of a Fall,False,,
2023,96,Best Picture,"David Heyman, Margot Robbie, Tom Ackerley and Robbie Brenner, Producers",,,,,,Barbie,False,,
2023,96,Best Picture,"Mark Johnson, Producer",,,,,,The Holdovers,False,,
2023,96,Best Picture,"Dan Friedkin, Bradley Thomas, Martin Scorsese and Daniel Lupi, Producers",,,,,,Killers of the Flower Moon,False,,
2023,96,Best Picture,"Bradley Cooper, Steven Spielberg, Fred Berner, Amy Durning and Kristie Macosko Krieger, Producers",,,,,,Maestro,False,,
2023,96,Best Picture,"Emma Thomas, Charles Roven and Christopher Nolan, Producers",,,,,,Oppenheimer,True,,http://aaspeechesdb.oscars.org/ics-wpd/url.ashx?id=096-16&amp;qn=AAspeeches
2023,96,Best Picture,"David Hinojosa, Christine Vachon and Pamela Koffler, Producers",,,,,,Past Lives,False,,
2023,96,Best Picture,"Ed Guiney, Andrew Lowe, Yorgos Lanthimos and Emma Stone, Producers",,,,,,Poor Things,False,,
2023,96,Best Picture,"James Wilson, Producer",,,,,,The Zone of Interest,False,,
2023,96,Cinematography,Edward Lachman,,,,,,El Conde,False,,
2023,96,Cinematography,Rodrigo Prieto,,,,,,Killers of the Flower Moon,False,,
2023,96,Cinematography,Matthew Libatique,,,,,,Maestro,False,,
2023,96,Cinematography,Hoyte van Hoytema,,,,,,Oppenheimer,True,,http://aaspeechesdb.oscars.org/ics-wpd/url.ashx?id=096-6&amp;qn=AAspeeches
2023,96,Cinematography,Robbie Ryan,,,,,,Poor Things,False,,
2023,96,Costume Design,Jacqueline Durran,,,,,,Barbie,False,,
2023,96,Costume Design,Jacqueline West,,,,,,Killers of the Flower Moon,False,,
2023,96,Costume Design,Janty Yates and Dave Crossman,,,,,,Napoleon,False,,
2023,96,Costume Design,Ellen Mirojnick,,,,,,Oppenheimer,False,,
2023,96,Costume Design,Holly Waddington,,,,,,Poor Things,True,,http://aaspeechesdb.oscars.org/ics-wpd/url.ashx?id=096-7&amp;qn=AAspeeches
2023,96,Directing,Justine Triet,,,,,,Anatomy of a Fall,False,,
2023,96,Directing,Martin Scorsese,,,,,,Killers of the Flower Moon,False,,
